component,pearson_r
z4,0.3095480277667617
z17,-0.28697074474554574
z1,-0.2446434438283095
z22,0.20774389724492667
z2,-0.20558931452515564
z32,-0.18939032498026165
z9,-0.16940415308728338
z37,0.16696582765796275
z26,0.14114015510901987
z53,0.1377019345004217
z20,0.12839583350953346
z61,0.12717391732329342
z49,0.12490203543439345
z41,0.12435829138066731
z51,0.1231980691540708
z36,-0.12036216316171457
z21,0.10582155449438689
z34,-0.10500550062214067
z33,-0.1043262445182328
z46,-0.10128857917022174
z18,-0.09851736750799828
z23,0.09210127844861421
z52,-0.09157256007490741
z16,0.09067849323642169
z27,-0.08878217752802453
z47,0.08174171786319147
z59,-0.08035454182510834
z12,0.07008411212620312
z43,0.06821854274278706
z55,-0.06647013910956527
z3,0.06640290238165791
z24,-0.0621932887000913
z44,0.061354560802043816
z35,0.054795056980400075
z29,0.049499432874070125
z64,0.04469297933815562
z8,-0.04102141525830734
z42,-0.039600570648730696
z19,0.038128862887905665
z31,0.037978908142181377
z57,0.03781038764606623
z39,0.03773256911848811
z40,-0.03352078245179823
z13,0.030189425552759788
z25,0.029631276870412043
z10,0.028479237910975473
z5,0.027412442052900776
z30,-0.026717996924216256
z60,-0.026457529155610306
z7,0.02222408507716685
z6,-0.02164076775997275
z45,0.021327074598084327
z28,0.020889312461738394
z56,-0.019808926935840254
z63,0.015374885083875228
z14,-0.014235456537211075
z62,-0.012435091188117121
z11,-0.011782432637636394
z15,-0.008675968463013587
z50,0.007753701207322492
z48,-0.0069807022300864005
z38,-0.004888278315224083
z54,0.0034391583180506564
z58,0.000754070961594146
